Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
"Cláusula 1:
 ¿Cómo se define la Universidad Autónoma de Baja California según la Cláusula 1?","La Universidad Autónoma de Baja California es una institución de servicio público descentralizada del estado, con plena capacidad jurídica de acuerdo con la Ley Orgánica del 28 de febrero de 1957, y tiene como fines impartir educación media superior y superior, fomentar y llevar a cabo investigaciones, y difundir los beneficios de la cultura.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 2:
 ¿Qué reconoce la Universidad sobre el Sindicato según la Cláusula 2?","La Universidad reconoce que el Sindicato de Profesores Superación Universitaria de la UABC es una organización laboral que representa el interés profesional del personal académico que presta sus servicios a la Universidad, obligándose a tratar con los representantes sindicales debidamente acreditados todos los conflictos laborales derivados de la aplicación del contrato.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 3:
 ¿Qué términos específicos se definen en la Cláusula 3 del contrato?","Los términos específicos incluyen: ""Universidad, UABC o Institución"" para referirse a la Universidad Autónoma de Baja California, ""Sindicato o SPSU"" para el Sindicato de Profesores Superación Universitaria, ""Representantes de la Universidad"" como autoridades designadas para resolver problemas laborales, ""Representantes del Sindicato"" como miembros autorizados del Comité Ejecutivo, ""Contrato"" como este documento, ""Sueldo o salario"" como la retribución al personal académico, y otras definiciones clave como IMSS, Estatuto del Personal Académico y Ley del Seguro Social.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 4:
 ¿Cuál es el objetivo principal del contrato colectivo de trabajo según la Cláusula 4?","El objetivo del contrato es regular las condiciones generales de trabajo entre el personal docente y de investigación y la Universidad, excluyendo expresamente aspectos de naturaleza académica como ingreso, promoción y permanencia, que son competencia exclusiva de la Universidad. En casos donde se mezclen aspectos académicos y laborales, el contrato solo aplicará a los últimos.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 5:
 ¿Qué normas complementan el contrato en caso de disposiciones no previstas?","Las relaciones laborales entre la Universidad y el personal académico se rigen por este contrato, y supletoriamente por lo dispuesto en la Constitución y la Ley Federal del Trabajo.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 6:
 ¿Quiénes deben cumplir con las disposiciones del contrato según la Cláusula 6?","El presente contrato es de aplicación obligatoria tanto para el personal académico como para la Universidad, y las disposiciones y usos establecidos solo se aplicarán si favorecen a los trabajadores.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 7:
 ¿Qué establece la Cláusula 7 sobre los derechos de los trabajadores académicos?","Las disposiciones del contrato que favorezcan a los trabajadores académicos son irrenunciables, y los casos no previstos se resolverán de acuerdo con la ley, así como por los usos y costumbres más favorables a los trabajadores.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 8:
 ¿Qué garantiza la Cláusula 8 sobre los derechos del personal académico?","En ningún caso los derechos del personal académico serán inferiores a los que les concede la Constitución, la ley y las normas vigentes en la Universidad Autónoma de Baja California.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 9:
 ¿Qué regula el Reglamento Interior de Trabajo según la Cláusula 9?","Las condiciones específicas de la prestación de los servicios se fijarán en el Reglamento Interior de Trabajo, que será formulado, discutido y acordado entre la Universidad y el Sindicato, sin contener normas contrarias a las leyes de orden público, el contrato colectivo o los usos establecidos.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 10:
 ¿Qué condiciones deben cumplir los acuerdos entre la Universidad y el Sindicato según la Cláusula 10?","Para que los acuerdos sean obligatorios, deben constar por escrito, estar firmados por representantes autorizados y no contravenir lo estipulado en el contrato, la ley o los usos y costumbres establecidos.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 11:
 ¿Con qué periodicidad se revisan el contrato y el tabulador de salarios según la Cláusula 11?","El contrato colectivo de trabajo se revisa cada dos años, mientras que el tabulador de salarios se revisa anualmente, tomando como base el día primero de abril, con efecto exclusivo del tabulador a partir del primero de enero de cada año de revisión.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 12:
 ¿Qué plazos deben cumplir las partes para presentar solicitudes de revisión del contrato o salarios según la Cláusula 12?","El Sindicato debe presentar el proyecto de revisión del contrato al menos dos meses antes de la expiración de su vigencia, y la solicitud de revisión de salarios al menos un mes antes de la fecha de revisión. Si no se cumplen estos plazos, se prorrogarán las disposiciones vigentes.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 13:
 ¿Cómo se integran las Comisiones Mixtas según la Cláusula 13?",Las Comisiones Mixtas son órganos paritarios establecidos en el contrato colectivo de trabajo e integrados por un número igual de representantes nombrados por la Universidad y el Sindicato para abordar y resolver asuntos de interés común.,ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 14:
 ¿Cuántos representantes designa cada parte para las Comisiones Mixtas según la Cláusula 14?","Cada una de las partes, tanto la Universidad como el Sindicato, tiene derecho a nombrar tres representantes para integrar las Comisiones Mixtas.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 15:
 ¿Qué Comisiones Mixtas se contemplan en el contrato según la Cláusula 15?","Las Comisiones Mixtas contempladas incluyen la Comisión de Conciliación y Resolución, la Comisión de Higiene y Seguridad, y las demás que acuerden las partes.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 16:
 ¿Qué deben elaborar y aprobar las Comisiones Mixtas según la Cláusula 16?","Las Comisiones Mixtas deben elaborar y aprobar su propio reglamento, asegurándose de no contravenir las disposiciones del contrato colectivo ni las leyes aplicables en la Universidad, para establecer mecanismos de funcionamiento adecuados.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 17:
 ¿Cuánto tiempo duran en sus funciones los miembros de las Comisiones Mixtas según la Cláusula 17?","Los miembros de las Comisiones Mixtas duran en sus funciones dos años, y pueden ser removidos de su cargo por quienes los nombraron.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 18:
 ¿Qué procedimientos generales rigen el funcionamiento de las Comisiones Mixtas según la Cláusula 18?","Los procedimientos generales incluyen la necesidad de al menos cuatro miembros para tomar acuerdos, resoluciones válidas por mayoría simple, reuniones según sea necesario, integración dentro de tres días hábiles desde la convocatoria, y resolución de asuntos en un plazo máximo de diez días hábiles.",ContratoColectivo_SPSU_P_C.docx,,General,No especificado,No especificado
