Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
¿Qué días son considerados de descanso obligatorio?,"Los días de descanso obligatorio incluyen el 1 de enero, el primer lunes de febrero, el cuarto lunes de febrero, el 15 de marzo, el tercer lunes de marzo, el 1 de mayo, el 10 de mayo, el segundo lunes de mayo, el tercer lunes de mayo, el 16 de septiembre, el 1 de octubre cada seis años, el 2 de noviembre, el tercer lunes de noviembre, el 25 de diciembre y los días establecidos por leyes federales y locales en caso de elecciones.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 40,"descanso obligatorio, días festivos, leyes federales"
¿Cuáles son los permisos económicos que pueden solicitar los trabajadores?,"Los trabajadores tienen derecho a permisos económicos con goce de sueldo por hasta 12 días al año, no acumulables. Estos permisos pueden utilizarse para asuntos personales, y requieren solicitud previa. Están limitados para fechas cercanas a descansos obligatorios, salvo casos justificados como emergencias familiares, trámites legales, y otros especificados en el documento.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 45,"permisos económicos, asuntos personales, emergencias familiares"
¿En qué consisten los estímulos económicos por puntualidad y asistencia?,"Los trabajadores pueden recibir un estímulo equivalente a 69 días de salario tabular anualmente, distribuido en tres pagos cuatrimestrales. La cantidad puede reducirse dependiendo de su comportamiento de puntualidad y asistencia.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 45 BIS,"estímulos económicos, puntualidad, asistencia"
¿Cómo se evalúan los estímulos económicos por puntualidad y asistencia?,"Los estímulos se otorgan según faltas y retardos en periodos cuatrimestrales. Por ejemplo, los trabajadores con cero faltas y hasta cuatro retardos pueden recibir hasta 23 días de salario tabular.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 45 TER,"puntualidad, asistencia, estímulos cuatrimestrales"
¿Qué beneficios adicionales se otorgan por asistencia perfecta anual?,"Los trabajadores con asistencia perfecta durante el año reciben un estímulo adicional de 45 días de salario tabular, junto con un reconocimiento especial.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 45 CUÁTER,"asistencia perfecta, estímulo adicional, reconocimiento"
¿Qué permisos se otorgan para atención médica?,"Los trabajadores pueden recibir permisos con goce de sueldo de hasta cinco horas para atención médica en el IMSS. En casos de tratamientos especializados, como quimioterapia o atención oncológica, los permisos pueden extenderse hasta una jornada laboral completa.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 48,"atención médica, permisos con sueldo, tratamientos especializados"
¿Qué uniformes y equipo de protección se entregan a los trabajadores?,"Los trabajadores reciben uniformes específicos según su tipo de labor, incluyendo pantalones, camisas, botas, y equipo de protección como cascos y guantes. Las entregas se realizan anualmente o cada dos años, dependiendo del artículo.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 65,"uniformes, equipo de protección, entrega anual"
¿Qué prestaciones se otorgan a las trabajadoras por maternidad?,"Las trabajadoras reciben 6 semanas de descanso antes y después del parto con salario íntegro, además de un vale por $3,800 para gastos relacionados con la maternidad.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 70,"maternidad, prestaciones, descanso laboral"
¿Qué apoyo médico y dental se otorga a los trabajadores?,"Se cubren hasta $3,000 anuales para lentes, hasta 100% en atención dental integral, y hasta $5,800 para prótesis y aparatos ortopédicos.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 71,"apoyo médico, dental, prótesis"
¿Qué apoyo se otorga para guarderías?,"Los trabajadores reciben $2,800 mensuales por cada hijo menor de seis años inscrito en guarderías privadas, con un máximo de dos hijos.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 77,"guarderías, apoyo económico, hijos menores"
¿Qué beneficios educativos reciben los trabajadores y sus familias?,"Los trabajadores, cónyuges e hijos están exentos de costos de inscripción y colegiaturas en la UABC, incluyendo cursos intersemestrales y programas de posgrado con becas disponibles.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 78,"educación, becas, colegiaturas exentas"
¿Qué estímulos se otorgan por permanencia laboral?,"Se otorgan estímulos de una, dos o tres catorcenas de salario tabular a los trabajadores con 20, 25, y 30 o más años de servicio, respectivamente.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 86 BIS,"permanencia laboral, estímulos, años de servicio"
¿Qué estímulos se otorgan por desempeño laboral?,"Los trabajadores reciben estímulos semestrales según su evaluación, que van desde 7.5 días hasta 22.5 días de salario tabular, dependiendo de su puntuación.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 86 TER,"desempeño laboral, estímulos, evaluaciones"
¿Qué apoyo se otorga para juguetes?,"Cada trabajador recibe $1,500 anuales el 1 de diciembre para la compra de juguetes para sus hijos.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 90,"juguetes, apoyo económico, trabajadores"
¿Qué apoyo se otorga para la cena navideña?,"Cada trabajador recibe $4,200 anuales para la cena navideña, pagados el primer viernes de diciembre.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 90 BIS,"cena navideña, apoyo económico, trabajadores"
¿Qué beneficios deportivos se otorgan a los trabajadores?,"Se destinan $185,000 anuales para artículos y actividades deportivas, incluyendo inscripción a torneos y habilitación de campos.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 91,"deportes, apoyo económico, torneos"
¿Qué apoyo se otorga al sindicato para cafeterías?,"La universidad entrega $2,000 por trabajador sindicalizado, destinado al pago de cafeterías.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 92,"sindicato, apoyo, cafeterías"
¿Qué apoyo económico se otorga al sindicato?,"La universidad otorga $86,000 mensuales para gastos administrativos del sindicato, además de $400,000 anuales como préstamo para la caja de ahorro.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 95,"sindicato, apoyo económico, gastos administrativos"
¿Qué apoyo se otorga para celebraciones y festejos?,"Se otorgan $215,000 para el Día del Trabajador Universitario y $200,000 para la posada navideña, además de montos adicionales para celebraciones del Día de la Madre y del Padre.",ConvenioTabulador_SETU,Convenio de Condiciones Generales de Trabajo,,Cláusula 96,"celebraciones, apoyo económico, sindicato"
