Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
"Cláusula Primera
 ¿Qué cláusulas del contrato colectivo fueron modificadas en el convenio de revisión contractual?","Las cláusulas modificadas en el convenio son la 37, 45, 45 bis, 47, 61, 62, 67 y 68.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 37
 ¿Cuáles son los días de descanso obligatorio según la cláusula 37 modificada?","Los días de descanso obligatorio son el 1 de enero, el primer lunes de febrero, el cuarto lunes de febrero, el tercer lunes de marzo, el 1 de mayo, el 10 de mayo, el segundo lunes de mayo, el tercer lunes de mayo, el 16 de septiembre, el 1 de octubre cada seis años, el 2 de noviembre, el tercer lunes de noviembre, el 25 de diciembre y los días determinados por leyes federales y locales para jornadas electorales.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 45
 ¿En qué casos se conceden permisos económicos según la cláusula 45 modificada?","Los permisos económicos se conceden por fallecimiento, accidente o privación de libertad de padres, cónyuge o hijos, por intervenciones quirúrgicas, diligencias judiciales obligatorias, matrimonio, nacimiento o adopción de hijos, presentación de exámenes, cambio de domicilio o daños fortuitos, y cualquier otra causa justificada.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 45 Bis
 ¿Qué compensación económica se otorga a los trabajadores académicos que no utilicen permisos económicos según la cláusula 45 Bis?",Se otorgan hasta 6 días de salario tabular en la segunda catorcena de julio y otros 6 días en la segunda catorcena de enero del año siguiente.,ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 47
 ¿Qué licencias se otorgan para preparación de exámenes profesionales según la cláusula 47 modificada?","Se concede una licencia con goce de sueldo hasta por un mes para preparar exámenes profesionales, prorrogable por un mes adicional por causas justificadas. Además, se otorgan $7,000.00 m.n. para gastos de titulación en programas del Sistema Nacional de Posgrado.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 61
 ¿Qué prestaciones médicas y odontológicas se otorgan según la cláusula 61 modificada?","Se otorgan anteojos y cambio de cristales hasta por $4,000.00 m.n., aparatos ortopédicos y auditivos hasta por $5,000.00 m.n., y atención bucodental integral gratuita hasta un 100% para el trabajador y un 80% para cónyuges e hijos menores de 25 años.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 62
 ¿Qué ayuda económica se otorga para servicio de guardería según la cláusula 62 modificada?","Se otorgan $3,500.00 m.n. mensuales para hijos de 46 días a 4 años, con un máximo de dos hijos, proporcional al tiempo de nombramiento del trabajador, sujeto a antigüedad mínima de un año.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 67
 ¿Qué compromisos de la Universidad hacia el personal académico se establecen según la cláusula 67 modificada?","Se compromete a proporcionar materiales de trabajo, otorgar ropa especial si es necesario, apoyar con $400,000.00 m.n. anuales para actividades académicas, eximir de ciertos pagos educativos, contratar un seguro de vida, y cubrir viáticos para viajes laborales.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula 68
 ¿Qué compromisos de la Universidad hacia el Sindicato se establecen según la cláusula 68 modificada?","Se compromete a no intervenir en la vida sindical, practicar descuentos para cuotas, otorgar licencias con goce de sueldo a 11 miembros del Comité Ejecutivo, proporcionar $350,000.00 m.n. anuales para actividades deportivas, y facilitar vehículos para eventos sindicales.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula Segunda
 ¿Cuándo entran en vigor las modificaciones al contrato colectivo según la cláusula segunda del convenio?",Las modificaciones entran en vigor a partir del 1 de enero de 2024.,ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula Tercera
 ¿Qué incremento salarial se establece en el convenio para el año 2024 según la cláusula tercera?","Los salarios se incrementan un 3.50% para las categorías de Profesor e Investigador Ordinario de Carrera y Profesor Ordinario de Asignatura, y un 5.30% para las categorías de Técnico Académico Ordinario de Carrera y Técnico Académico Ordinario de Asignatura.",ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
"Cláusula Cuarta
 ¿Qué compromisos asumen las partes en relación con la ratificación del convenio según la cláusula cuarta?",Las partes se comprometen a ratificar y celebrar el convenio ante el Centro de Conciliación Laboral de Baja California y el Sindicato realizará la consulta prevista por la Ley Federal del Trabajo.,ConvenioTabulador_SPSU_P_C.docx,,General,No especificado,No especificado
