Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
¿Cuál es el objeto de la Ley General de Contabilidad Gubernamental?,"El artículo establece que la ley tiene como objetivo definir los criterios generales para la contabilidad gubernamental y la emisión de información financiera de los entes públicos, promoviendo la armonización y transparencia en los tres niveles de gobierno​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 1,"El, artículo, establece, que, la"
¿Qué abarca la contabilidad gubernamental según el artículo 2?,"La contabilidad gubernamental facilita el registro, control y fiscalización de activos, pasivos, ingresos y gastos, promoviendo la eficiencia y eficacia en la gestión financiera de los entes públicos​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 2,"La, contabilidad, gubernamental, facilita, el"
¿Qué regula la contabilidad gubernamental en términos de patrimonio?,Este artículo establece que la contabilidad gubernamental define la valuación del patrimonio estatal y su representación en los estados financieros​,LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 3,"Este, artículo, establece, que, la"
¿Qué definiciones clave se proporcionan en el artículo 4?,"El artículo incluye términos esenciales como “armonización”, “catálogo de cuentas”, “comité consultivo”, “contabilidad gubernamental”, entre otros, para establecer un marco técnico y conceptual​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 4,"El, artículo, incluye, términos, esenciales"
¿Qué aspectos aborda la interpretación de la Ley?,"La interpretación administrativa de la Ley corresponde a la Secretaría de Hacienda y la Secretaría de la Función Pública, priorizando transparencia y máxima publicidad de la información financiera​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 5,"La, interpretación, administrativa, de, la"
¿Qué se establece sobre el consejo en este artículo?,El Consejo Nacional de Armonización Contable se define como el órgano encargado de la coordinación y emisión de normas contables y lineamientos aplicables​,LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 6,"El, Consejo, Nacional, de, Armonización"
¿Qué obligación tienen los entes públicos respecto a las decisiones del consejo?,Los entes públicos deben implementar obligatoriamente las disposiciones del consejo en los plazos establecidos y difundirlas en medios oficiales​,LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 7,"Los, entes, públicos, deben, implementar"
¿Cómo está compuesto el Consejo Nacional de Armonización Contable?,"El consejo incluye al Secretario de Hacienda, subsecretarios, el Tesorero de la Federación, representantes de la Secretaría de la Función Pública, entre otros​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 8,"El, consejo, incluye, al, Secretario"
¿Qué define este artículo sobre los procedimientos?,"Este artículo especifica los procedimientos para aprobar normas y lineamientos, estableciendo los pasos administrativos y técnicos​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 9,"Este, artículo, especifica, los, procedimientos"
¿Qué enfoque tiene el artículo respecto a los registros contables?,"Detalla las bases de acumulación y devengado para los registros contables, asegurando la precisión y oportunidad en la información financiera​",LGCG.pdf,Ley General de Contabilidad Gubernamental,,Artículo 10,"Detalla, las, bases, de, acumulación"
