Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
¿Quiénes están obligados al pago del impuesto sobre la renta?,"Las personas físicas y morales residentes en México por todos sus ingresos, sin importar la ubicación de la fuente de riqueza. También, los residentes en el extranjero con establecimiento permanente en México por ingresos atribuibles a este, y los residentes en el extranjero sin establecimiento permanente por ingresos de fuentes situadas en México.",LISR_Q&A.docx,Artículo 1:,General,1,Artículo 1
¿Qué se considera un establecimiento permanente para efectos de esta ley?,"Cualquier lugar fijo de negocios en donde se desarrollen actividades empresariales o se presten servicios personales independientes, como sucursales, oficinas, fábricas o instalaciones de extracción de recursos naturales.",LISR_Q&A.docx,Artículo 2:,General,2,Artículo 2
¿Qué actividades no constituyen un establecimiento permanente?,"Actividades de carácter preparatorio o auxiliar, como almacenamiento, exhibición de bienes, propaganda, investigación, u otras actividades similares.",LISR_Q&A.docx,Artículo 3:,General,3,Artículo 3
¿Cuándo son aplicables los beneficios de los tratados para evitar la doble tributación?,Cuando los contribuyentes acrediten su residencia fiscal en el país del tratado y cumplan con las disposiciones de procedimiento establecidas en la LISR y el tratado respectivo.,LISR_Q&A.docx,Artículo 4:,General,4,Artículo 4
¿Cómo tributan las entidades extranjeras transparentes fiscales en México?,"Estas tributan como personas morales cuando sean consideradas residentes fiscales en México, de acuerdo con lo dispuesto en el Título correspondiente de la LISR.",LISR_Q&A.docx,Artículo 4-A:,General,4-A,Artículo 4-A
¿Qué obligaciones tienen los residentes en México por ingresos a través de entidades extranjeras transparentes fiscales?,Deben acumular dichos ingresos en la proporción correspondiente y pagar el impuesto en los términos de la LISR.,LISR_Q&A.docx,Artículo 4-B:,General,4-B,Artículo 4-B
¿Cómo pueden los residentes en México acreditar impuestos pagados en el extranjero?,"Pueden acreditarlos contra el impuesto sobre la renta en México, siempre que los ingresos correspondientes estén sujetos al pago de ISR en ambos países.",LISR_Q&A.docx,Artículo 5:,General,5,Artículo 5
¿Cómo se actualizan los valores de bienes u operaciones en esta ley?,Utilizando factores de ajuste basados en el Índice Nacional de Precios al Consumidor para periodos específicos.,LISR_Q&A.docx,Artículo 6:,General,6,Artículo 6
¿Qué se entiende por persona moral en la LISR?,"Incluye sociedades mercantiles, organismos descentralizados, instituciones de crédito, y otras entidades que realicen actividades empresariales en México.",LISR_Q&A.docx,Artículo 7:,General,7,Artículo 7
¿Qué se considera interés para efectos de la LISR?,"Cualquier rendimiento derivado de créditos, deuda pública, bonos, primas, reportes, entre otros.",LISR_Q&A.docx,Artículo 8:,General,8,Artículo 8
¿Cómo calculan el impuesto sobre la renta las personas morales?,"Aplican la tasa del 30% al resultado fiscal del ejercicio, que se determina disminuyendo de los ingresos acumulables las deducciones autorizadas y pérdidas fiscales, en su caso.",LISR_Q&A.docx,Artículo 9:,General,9,Artículo 9
¿Qué tratamiento fiscal tienen los dividendos distribuidos por personas morales?,"Se adicionan con el impuesto correspondiente y se paga como un impuesto definitivo, salvo que provengan de la cuenta de utilidad fiscal neta.",LISR_Q&A.docx,Artículo 10:,General,10,Artículo 10
¿Qué intereses derivados de créditos se consideran como dividendos?,"Aquellos que cumplen ciertos supuestos, como promesas incondicionales de pago, créditos respaldados, o intereses condicionados a utilidades.",LISR_Q&A.docx,Artículo 11:,General,11,Artículo 11
¿Qué obligaciones fiscales tiene una sociedad en liquidación?,El liquidador debe presentar pagos provisionales mensuales y una declaración final al término de la liquidación.,LISR_Q&A.docx,Artículo 12:,General,12,Artículo 12
¿Cómo se determinan los ingresos obtenidos a través de fideicomisos?,Los ingresos se determinan según lo estipulado en el contrato de fideicomiso y se acumulan en la proporción correspondiente a cada fideicomisario.,LISR_Q&A.docx,Artículo 13:,General,13,Artículo 13
¿Cómo se calculan los pagos provisionales mensuales?,"Multiplicando el coeficiente de utilidad del último ejercicio de 12 meses por los ingresos nominales del periodo, y aplicando la tasa del 30%.",LISR_Q&A.docx,Artículo 14:,General,14,Artículo 14
¿Cómo se tratan fiscalmente las deudas perdonadas en un concurso mercantil?,"Se pueden disminuir de las pérdidas fiscales pendientes y no se consideran ingresos acumulables, salvo en transacciones con partes relacionadas.",LISR_Q&A.docx,Artículo 15:,General,15,Artículo 15
¿Qué ingresos deben acumular las personas morales residentes en México?,"Todos los ingresos en efectivo, bienes, servicios, crédito, o cualquier otro tipo, provenientes tanto de fuentes nacionales como extranjeras.",LISR_Q&A.docx,Artículo 16:,General,16,Artículo 16
¿Cuándo se consideran obtenidos los ingresos por enajenación de bienes o prestación de servicios?,"Cuando se expida el comprobante fiscal, se entregue el bien, o se cobre total o parcialmente el precio, lo que ocurra primero.",LISR_Q&A.docx,Artículo 17:,General,17,Artículo 17
¿Cómo se tratan los ingresos por contratos de arrendamiento financiero?,"Pueden considerarse en su totalidad en el ejercicio o únicamente en la parte exigible del precio pactado, según la opción elegida por el contribuyente.",LISR_Q&A.docx,Artículo 18:,General,18,Artículo 18
¿Qué ingresos derivados de deudas no cubiertas son acumulables?,Aquellos en los que se consuma el plazo de prescripción o se cumpla el plazo de 10 años sin exigirse.,LISR_Q&A.docx,Artículo 19:,General,19,Artículo 19
¿Cómo se acumulan los ingresos por contratos de obra inmueble?,"Se acumulan cuando las estimaciones por obra ejecutada sean autorizadas para cobro, siempre que el pago se realice dentro de los 3 meses siguientes.",LISR_Q&A.docx,Artículo 20:,General,20,Artículo 20
¿Qué tratamiento tienen los ingresos derivados de la cesión de derechos sobre bienes inmuebles?,Se consideran ingresos acumulables en el ejercicio en que se efectúe la cesión y deben acumularse conforme al monto pactado en el contrato.,LISR_Q&A.docx,Artículo 21:,General,21,Artículo 21
¿Cómo se consideran los ingresos obtenidos por ajustes de precios en contratos?,"Se consideran acumulables en el ejercicio en que se efectúen, siempre que se trate de ajustes por el cumplimiento de condiciones contractuales.",LISR_Q&A.docx,Artículo 22:,General,22,Artículo 22
¿Qué ingresos no se consideran acumulables para personas morales residentes en México?,Dividendos o utilidades provenientes de otras personas morales residentes en México y otros conceptos expresamente excluidos.,LISR_Q&A.docx,Artículo 23:,General,23,Artículo 23
¿Cómo se determinan los ingresos acumulables de fideicomisos empresariales?,Los ingresos se acumulan conforme a lo establecido en el contrato de fideicomiso y en proporción a la participación de los fideicomisarios.,LISR_Q&A.docx,Artículo 24:,General,24,Artículo 24
¿Qué deducciones están permitidas para las personas morales?,"Todas las estrictamente indispensables para la actividad, incluyendo salarios, costos de ventas, intereses, y otras conforme a las fracciones del artículo.",LISR_Q&A.docx,Artículo 25:,General,25,Artículo 25
¿Qué requisitos deben cumplir las deducciones autorizadas?,"Deben estar debidamente comprobadas, registradas en contabilidad, y cumplir con las disposiciones fiscales aplicables.",LISR_Q&A.docx,Artículo 26:,General,26,Artículo 26
¿Qué requisitos específicos tienen las deducciones de inversiones?,Deben ser deducidas mediante el método de depreciación fiscal conforme a las tasas establecidas en la ley.,LISR_Q&A.docx,Artículo 27:,General,27,Artículo 27
¿Qué gastos no son deducibles para efectos del impuesto sobre la renta?,"Gastos personales, multas, impuestos a cargo del contribuyente, entre otros señalados en las fracciones del artículo.",LISR_Q&A.docx,Artículo 28:,General,28,Artículo 28
¿Cómo se tratan las devoluciones y descuentos en las deducciones?,"Se deben restar del monto original deducible, ajustando los ingresos y gastos en la contabilidad fiscal.",LISR_Q&A.docx,Artículo 29:,General,29,Artículo 29
¿Qué requisitos aplican para deducir pérdidas por créditos incobrables?,Debe acreditarse la incobrabilidad conforme a lo establecido en el Código Fiscal de la Federación.,LISR_Q&A.docx,Artículo 30:,General,30,Artículo 30
¿Qué deducciones especiales se aplican a donativos?,"Los donativos a entidades autorizadas son deducibles hasta el límite establecido, cumpliendo con los requisitos de comprobación.",LISR_Q&A.docx,Artículo 31:,General,31,Artículo 31
¿Qué gastos son deducibles para fideicomisos de inversión en bienes raíces?,"Gastos relacionados con la operación del fideicomiso, siempre que se cumpla con las disposiciones aplicables a estos vehículos.",LISR_Q&A.docx,Artículo 32:,General,32,Artículo 32
¿Qué se entiende por costo de lo vendido para efectos fiscales?,"Es el costo directo relacionado con la producción o adquisición de bienes que son objeto de venta, conforme a las reglas específicas del artículo.",LISR_Q&A.docx,Artículo 33:,General,33,Artículo 33
¿Qué reglas se aplican a la deducción de bienes intangibles?,"La deducción se realiza de acuerdo con la vida útil estimada del activo, cumpliendo con las disposiciones fiscales.",LISR_Q&A.docx,Artículo 34:,General,34,Artículo 34
¿Qué requisitos deben cumplir las deducciones por inversiones en activos fijos?,Deben ser efectuadas conforme a las tasas de depreciación y reglas establecidas para cada tipo de activo.,LISR_Q&A.docx,Artículo 35:,General,35,Artículo 35
¿Qué tratamiento tienen las pérdidas cambiarias?,"Se consideran deducibles en el ejercicio en que ocurran, siempre que estén debidamente comprobadas.",LISR_Q&A.docx,Artículo 36:,General,36,Artículo 36
¿Qué disposiciones aplican para deducciones de gastos por seguros?,Son deducibles si están directamente relacionados con la actividad económica del contribuyente y cumplen con las disposiciones fiscales.,LISR_Q&A.docx,Artículo 37:,General,37,Artículo 37
¿Qué deducciones son aplicables a operaciones de factoraje financiero?,Los intereses derivados de estas operaciones son deducibles conforme a los términos del contrato de factoraje.,LISR_Q&A.docx,Artículo 38:,General,38,Artículo 38
¿Cómo se deducen los pagos provisionales efectuados por las personas morales?,"Se acreditan contra el impuesto del ejercicio fiscal correspondiente, siguiendo las disposiciones del artículo.",LISR_Q&A.docx,Artículo 39:,General,39,Artículo 39
¿Qué requisitos aplican a los gastos preoperativos para deducirlos?,"Deben ser amortizados en un periodo mínimo de 10 años, siempre que estén relacionados con la actividad productiva del contribuyente.",LISR_Q&A.docx,Artículo 40:,General,40,Artículo 40
¿Qué reglas aplican para la deducción de pagos por servicios personales independientes?,Los pagos son deducibles si están relacionados con la actividad del contribuyente y se encuentran debidamente comprobados.,LISR_Q&A.docx,Artículo 41:,General,41,Artículo 41
¿Cómo se tratan los ingresos exentos otorgados a los trabajadores para efectos de deducciones?,Son deducibles solo si cumplen con las disposiciones sobre previsión social y están debidamente documentados.,LISR_Q&A.docx,Artículo 42:,General,42,Artículo 42
¿Qué deducciones son aplicables para los pagos realizados a partes relacionadas en el extranjero?,Son deducibles si cumplen con las reglas de precios de transferencia y están debidamente documentados.,LISR_Q&A.docx,Artículo 43:,General,43,Artículo 43
¿Qué disposiciones aplican a los pagos por regalías?,Las regalías son deducibles si están relacionadas con la actividad del contribuyente y cumplen con los requisitos fiscales.,LISR_Q&A.docx,Artículo 44:,General,44,Artículo 44
¿Qué requisitos deben cumplir las deducciones por intereses pagados?,Los intereses son deducibles si se devengan efectivamente y cumplen con las reglas específicas del artículo.,LISR_Q&A.docx,Artículo 45:,General,45,Artículo 45
¿Cómo se determina la deducción de pagos por uso o goce de bienes inmuebles?,Estos pagos son deducibles si están relacionados con la actividad económica del contribuyente y se encuentran debidamente comprobados.,LISR_Q&A.docx,Artículo 46:,General,46,Artículo 46
"¿Qué disposiciones aplican para la deducción de gastos de transporte, hospedaje y alimentación?",Son deducibles si están relacionados con actividades de negocio y cumplen con los requisitos de comprobación.,LISR_Q&A.docx,Artículo 47:,General,47,Artículo 47
¿Qué reglas aplican para la deducción de gastos en vehículos automotores?,La deducción está limitada a ciertos montos y condiciones dependiendo del uso y tipo de vehículo.,LISR_Q&A.docx,Artículo 48:,General,48,Artículo 48
¿Cómo se deducen los pagos por concepto de capacitación de empleados?,Son deducibles si están directamente relacionados con la actividad del contribuyente y cumplen con los requisitos de comprobación.,LISR_Q&A.docx,Artículo 49:,General,49,Artículo 49
¿Qué tratamiento fiscal tienen las donaciones otorgadas a terceros?,Son deducibles si se otorgan a entidades autorizadas y dentro de los límites establecidos por la ley.,LISR_Q&A.docx,Artículo 50:,General,50,Artículo 50
¿Cómo se consideran los gastos de publicidad y promoción?,Son deducibles si están relacionados con la actividad económica del contribuyente y cumplen con las reglas de comprobación.,LISR_Q&A.docx,Artículo 51:,General,51,Artículo 51
¿Qué requisitos aplican a las deducciones de gastos médicos otorgados como prestación a los empleados?,Son deducibles si están amparados por comprobantes fiscales y forman parte de los beneficios de previsión social.,LISR_Q&A.docx,Artículo 52:,General,52,Artículo 52
¿Qué deducciones son aplicables para los gastos de investigación y desarrollo tecnológico?,Son deducibles si cumplen con las disposiciones específicas de la ley y están relacionadas con la actividad del contribuyente.,LISR_Q&A.docx,Artículo 53:,General,53,Artículo 53
¿Qué reglas aplican para la deducción de pagos efectuados en moneda extranjera?,Deben convertir los pagos a pesos mexicanos utilizando el tipo de cambio establecido por el Banco de México.,LISR_Q&A.docx,Artículo 54:,General,54,Artículo 54
¿Cómo se deducen los gastos relacionados con actividades filantrópicas?,Son deducibles si se realizan a través de entidades autorizadas y no exceden el límite establecido en la ley.,LISR_Q&A.docx,Artículo 55:,General,55,Artículo 55
¿Qué disposiciones aplican para la deducción de impuestos locales y federales?,"Solo son deducibles los impuestos trasladados efectivamente pagados, excepto aquellos que sean a cargo del contribuyente.",LISR_Q&A.docx,Artículo 56:,General,56,Artículo 56
¿Qué deducciones son aplicables a las erogaciones realizadas por concepto de arrendamiento financiero?,"Son deducibles los pagos de intereses y la parte proporcional de la inversión, según las reglas del contrato.",LISR_Q&A.docx,Artículo 57:,General,57,Artículo 57
¿Qué reglas aplican para las deducciones relacionadas con actividades de exportación?,Son deducibles si están directamente relacionadas con la actividad exportadora y cumplen con las disposiciones fiscales.,LISR_Q&A.docx,Artículo 58:,General,58,Artículo 58
"¿Qué tratamiento fiscal tienen los ingresos derivados de actividades agrícolas, ganaderas, pesqueras o silvícolas?",Estos ingresos tienen un tratamiento fiscal especial y pueden acceder a beneficios fiscales específicos.,LISR_Q&A.docx,Artículo 59:,General,59,Artículo 59
¿Cómo se deducen los gastos relacionados con actividades culturales y deportivas?,Son deducibles si están directamente relacionados con la promoción de dichas actividades como parte de la actividad del contribuyente.,LISR_Q&A.docx,Artículo 60:,General,60,Artículo 60
¿Qué ingresos están exentos para las personas físicas?,"Están exentos, entre otros, los ingresos por herencias, legados, donativos en ciertos casos, y prestaciones de seguridad social.",LISR_Q&A.docx,Artículo 61:,General,61,Artículo 61
¿Qué tratamiento tienen las prestaciones de previsión social otorgadas a los trabajadores?,Son exentas hasta los límites establecidos en la ley y deben cumplir con las disposiciones aplicables.,LISR_Q&A.docx,Artículo 62:,General,62,Artículo 62
¿Cómo se determina el ingreso gravable por premios obtenidos en sorteos o loterías?,"Se considera como ingreso acumulable el monto del premio, menos la exención permitida por la ley.",LISR_Q&A.docx,Artículo 63:,General,63,Artículo 63
¿Qué ingresos de pensiones y jubilaciones están exentos?,"Están exentos los ingresos que no excedan de 15 veces el salario mínimo elevado al año, conforme a las reglas específicas.",LISR_Q&A.docx,Artículo 64:,General,64,Artículo 64
