Pregunta,Respuesta,Nombre del Documento,Título/Encabezado del Documento,Sección/Capítulo,Cláusula o Artículo,Palabras Clave
¿Cuál es el objetivo principal de la Ley del Seguro Social?,"Garantizar el derecho humano a la salud, la asistencia médica, la protección de los medios de subsistencia y los servicios sociales necesarios para el bienestar individual y colectivo.",LSS_Q&A.docx,Artículo 1,General,1,Artículo 1
¿Qué riesgos y necesidades cubre el Seguro Social según esta Ley?,"La Ley cubre enfermedades, maternidad, accidentes de trabajo, enfermedades profesionales, invalidez, vejez, cesantía en edad avanzada, muerte, y prestaciones sociales.",LSS_Q&A.docx,Artículo 2,General,2,Artículo 2
¿Quiénes están sujetos al régimen obligatorio del Seguro Social?,"Trabajadores, patrones, y demás sujetos obligados en los términos de la Ley Federal del Trabajo.",LSS_Q&A.docx,Artículo 3,General,3,Artículo 3
¿Qué principio rige el Seguro Social en relación con la universalidad de su cobertura?,"El Seguro Social debe extenderse progresivamente a toda la población, conforme a las disposiciones de la Ley.",LSS_Q&A.docx,Artículo 4,General,4,Artículo 4
¿Qué establece la Ley respecto a las obligaciones de los patrones?,"Los patrones deben inscribir a sus trabajadores en el régimen obligatorio, comunicar altas y bajas, y cubrir las cuotas obrero-patronales.",LSS_Q&A.docx,Artículo 5,General,5,Artículo 5
¿Qué derechos tienen los trabajadores asegurados?,"Derecho a las prestaciones en dinero y en especie, como asistencia médica, pensiones, y servicios sociales.",LSS_Q&A.docx,Artículo 6,General,6,Artículo 6
¿Qué constituye el régimen obligatorio del Seguro Social?,"El régimen obligatorio comprende seguros como riesgos de trabajo, enfermedades y maternidad, invalidez y vida, retiro, cesantía en edad avanzada y vejez.",LSS_Q&A.docx,Artículo 7,General,7,Artículo 7
¿Qué es el régimen voluntario en el Seguro Social?,"Es un esquema opcional que permite a ciertos grupos, como trabajadores independientes, incorporarse al Seguro Social.",LSS_Q&A.docx,Artículo 8,General,8,Artículo 8
¿Cómo se define la base de cotización de los trabajadores?,La base de cotización corresponde al salario diario integrado.,LSS_Q&A.docx,Artículo 9,General,9,Artículo 9
¿Qué personas pueden incorporarse de manera voluntaria al Seguro Social?,"Personas como patrones, trabajadores independientes, y mexicanos en el extranjero.",LSS_Q&A.docx,Artículo 10,General,10,Artículo 10
¿Qué seguros comprende el régimen obligatorio?,"Riesgos de trabajo, enfermedades y maternidad, invalidez y vida, retiro, cesantía en edad avanzada y vejez, y guarderías y prestaciones sociales.",LSS_Q&A.docx,Artículo 11,General,11,Artículo 11
¿Quiénes son sujetos de aseguramiento obligatorio?,"Trabajadores bajo relación laboral, socios de cooperativas, y trabajadores eventuales del campo.",LSS_Q&A.docx,Artículo 12,General,12,Artículo 12
¿Quiénes pueden optar por asegurarse voluntariamente en el régimen obligatorio?,"Ejidatarios, comuneros, colonos y pequeños propietarios, trabajadores independientes y otros grupos señalados en la Ley.",LSS_Q&A.docx,Artículo 13,General,13,Artículo 13
¿Qué define la Ley sobre el otorgamiento de prestaciones?,Las prestaciones deben ser otorgadas en tiempo y forma según las condiciones previstas en la Ley.,LSS_Q&A.docx,Artículo 14,General,14,Artículo 14
¿Cuáles son las obligaciones de los patrones respecto a los trabajadores asegurados?,"Inscribirlos al Instituto, llevar registros actualizados, y pagar las cuotas correspondientes.",LSS_Q&A.docx,Artículo 15,General,15,Artículo 15
¿Qué medidas se toman contra los patrones que incumplen con el Seguro Social?,"Pueden aplicarse multas, recargos y actualizaciones por incumplimiento de las obligaciones.",LSS_Q&A.docx,Artículo 16,General,16,Artículo 16
¿Qué función tiene el Instituto Mexicano del Seguro Social en la supervisión de patrones?,Supervisar el cumplimiento de las disposiciones de la Ley e imponer sanciones por incumplimientos.,LSS_Q&A.docx,Artículo 17,General,17,Artículo 17
¿Qué información debe proporcionar el patrón al Instituto?,"Información relacionada con los trabajadores asegurados, salarios, y movimientos laborales.",LSS_Q&A.docx,Artículo 18,General,18,Artículo 18
¿Qué establece la Ley respecto a la inscripción de trabajadores eventuales?,"Deben ser inscritos desde el inicio de la relación laboral, sin importar su duración.",LSS_Q&A.docx,Artículo 19,General,19,Artículo 19
¿Cómo se determina la cuota obrero-patronal?,"Es un porcentaje sobre el salario base de cotización, definido por cada seguro del régimen obligatorio.",LSS_Q&A.docx,Artículo 20,General,20,Artículo 20
¿Qué ocurre si un patrón omite el pago de cuotas?,El Instituto está facultado para realizar el cobro mediante procedimientos administrativos.,LSS_Q&A.docx,Artículo 21,General,21,Artículo 21
¿Qué criterios se utilizan para clasificar a las empresas en el régimen obligatorio?,Según el tipo de actividad económica y el nivel de riesgo asociado.,LSS_Q&A.docx,Artículo 22,General,22,Artículo 22
¿Cómo se calcula la prima de riesgos de trabajo?,Se calcula con base en la siniestralidad registrada en la empresa.,LSS_Q&A.docx,Artículo 23,General,23,Artículo 23
¿Qué sanciones aplican a los patrones que omiten inscribir a sus trabajadores?,Multas equivalentes a un porcentaje del salario base de cotización del trabajador omitido.,LSS_Q&A.docx,Artículo 24,General,24,Artículo 24
¿Qué establece la Ley respecto a la conservación de derechos de los asegurados?,Los derechos se conservan mientras se cumplan las condiciones establecidas en la Ley.,LSS_Q&A.docx,Artículo 25,General,25,Artículo 25
¿Qué mecanismos tiene el Instituto para verificar el cumplimiento de la Ley?,"Inspecciones, auditorías, y requerimientos de información.",LSS_Q&A.docx,Artículo 26,General,26,Artículo 26
¿Cómo se determinan los derechos de los beneficiarios del asegurado?,Con base en la relación de parentesco y cumplimiento de requisitos legales.,LSS_Q&A.docx,Artículo 27,General,27,Artículo 27
¿Qué prestaciones incluye el seguro de riesgos de trabajo?,"Atención médica, rehabilitación, indemnizaciones, pensiones, y ayudas para gastos funerarios.",LSS_Q&A.docx,Artículo 28,General,28,Artículo 28
¿Qué obligaciones tienen los patrones en caso de accidentes de trabajo?,"Informar al Instituto, pagar las cuotas correspondientes, y otorgar los beneficios al trabajador.",LSS_Q&A.docx,Artículo 29,General,29,Artículo 29
¿Qué establece la Ley sobre el registro patronal?,"Cada patrón debe registrarse ante el Instituto, asignándosele un número único.",LSS_Q&A.docx,Artículo 30,General,30,Artículo 30
¿Qué servicios médicos incluye el seguro de enfermedades y maternidad?,"Atención médica, quirúrgica, farmacéutica y hospitalaria, tanto para el asegurado como para sus beneficiarios.",LSS_Q&A.docx,Artículo 31,General,31,Artículo 31
¿Qué derechos tienen las aseguradas en estado de embarazo?,"Tienen derecho a asistencia obstétrica, subsidio por incapacidad temporal, y servicios médicos para el recién nacido.",LSS_Q&A.docx,Artículo 32,General,32,Artículo 32
¿Qué condiciones deben cumplirse para otorgar el subsidio por maternidad?,La asegurada debe haber cotizado al menos 30 semanas en los últimos 12 meses previos al inicio del subsidio.,LSS_Q&A.docx,Artículo 33,General,33,Artículo 33
¿Qué prestaciones incluye el seguro de invalidez y vida?,"Pensiones por invalidez, pensiones por muerte, y ayudas para gastos funerarios.",LSS_Q&A.docx,Artículo 34,General,34,Artículo 34
¿Cómo se define la invalidez en el marco de esta Ley?,Es la pérdida de facultades o aptitudes que imposibiliten a una persona para desempeñar un trabajo que proporcione un ingreso superior al 50% de lo habitual.,LSS_Q&A.docx,Artículo 35,General,35,Artículo 35
